United States,Greater China,7.1,8.5
European Union,Greater China,5.8,6.9
Other Asia,Greater China,4.3,5.3
Other Asia,Other Asia,4.5,5.0
Middle East and Africa,European Union,3.1,3.4
Greater China,United States,3.2,3.4
Middle East and Africa,Greater China,2.7,3.3
European Union,Other Asia,2.8,3.1
Greater China,European Union,2.9,3.1
Other Asia,European Union,2.6,2.9
Greater China,Greater China,2.6,2.9
Greater China,Other Asia,2.3,2.8
Middle East and Africa,Other Asia,2.7,2.7
United States,Other Asia,2.3,2.6
United States,Latin America,2.2,2.4
Japan,Greater China,2.1,2.4
Other Europe,Greater China,1.8,2.3
United States,European Union,1.8,2.1
Latin America,Greater China,1.6,2.0
European Union,Middle East and Africa,1.6,1.9
