Country Code,Population,GDP,Population Density,GDP per capita
SAS,1632939098,2.04797E+12,342.2477056,913.0911711
SST,28535667,1.50318E+11,12.24717251,975.9076337
SSF,853931672,1.11788E+12,36.15910738,318.6916393
SSA,853231271,1.10333E+12,36.17241344,675.9679541
OSS,19434668,84398422935,10.44341224,600.744909
UMC,2472498041,1.54712E+13,41.50320168,4076.144267
WLD,6894377794,6.3136E+13,53.15210682,7540.163381
ALB,3204284,11858216877,116.9446715,3346.380723
DZA,35468208,1.61979E+11,14.89172118,3272.871458
AGO,19081912,82470894868,15.30593727,2813.937051
ATG,88710,1153788955,201.6136364,12002.89619
ARG,40412376,3.68711E+11,14.76688116,6278.888604
ARM,3092072,9371175470,108.5699438,1912.100765
AUS,22299800,1.13162E+12,2.902750478,37005.20609
AUT,8389771,3.76575E+11,101.7805532,38999.6648
AZE,9054332,52905998879,109.590075,3128.807906
BHS,342877,7771258000,34.25344655,21339.71817
BHR,1261835,22945456867,1660.309211,14124.98159
BGD,148692131,1.00357E+11,1142.291857,597.2468239
BRB,273331,4109500000,635.6534884,10959.20484
BLR,9490000,55220932614,46.79025737,4640.933165
BEL,10895785,4.66695E+11,359.8343791,36725.25222
BLZ,344700,1401000000,15.11179307,3654.88854
BEN,8849892,6558349890,80.00263967,592.7572863
BOL,9929849,19649724656,9.166296501,1203.9541
BWA,2006945,14904834649,3.541271858,5891.147412
BRA,194946470,2.14304E+12,23.04489788,5626.925238
BGR,7534289,47726844946,69.40207259,4371.858036
BFA,16468714,8825364008,60.19266813,422.4014589
BDI,8382849,2026862708,326.4349299,116.2091607
KHM,14138255,11242266334,80.09435191,614.8382186
CMR,19598889,22480348401,41.46070318,979.4111101
CAN,34126181,1.57704E+12,3.752806232,35277.81302
CPV,495999,1659053271,123.0766749,2795.260342
CAF,4401051,1984747842,7.06451411,353.8304195
TCD,11227208,8540674846,8.916143583,525.0966695
CHL,17113688,2.16309E+11,23.01680901,8240.036645
CHN,1337825000,5.93053E+12,143.4283429,2867.205344
COL,46294841,2.88765E+11,41.7258594,3953.079267
COM,734750,541097578.7,395.0268817,562.3208339
COD,65965795,13109525211,29.09763569,140.7201508
COG,4042899,12007880067,11.83865007,1940.285038
CRI,4658887,36217527244,91.24338034,5358.421398
CIV,19737800,22920506112,62.06855346,928.5085532
HRV,4418000,60851743541,78.94924946,10614.58934
CYP,1103647,23132450331,119.442316,17369.58363
CZE,10519792,1.97656E+11,136.1785372,13574.75937
DNK,5547683,3.12215E+11,130.7490691,46174.76234
DMA,67757,471851097.8,90.34266667,6346.93274
DOM,9927320,51576212063,205.4495033,4824.920327
ECU,14464739,57978116000,58.24101707,3043.283267
EGY,81121077,2.18894E+11,81.49186499,1492.044197
SLV,6192993,21427900000,298.8896236,2963.40837
GNQ,700401,14500472162,24.96973262,16700.87191
ERI,5253676,2117008130,52.01659406,201.1188919
EST,1340161,18822715730,31.61502713,10337.00293
ETH,82949541,29684016194,82.949541,243.290828
FJI,860623,3173108251,47.10580186,3532.651576
FIN,5363352,2.36475E+11,17.64841066,38248.63788
FRA,65075569,2.54903E+12,118.8247617,34005.08799
GAB,1505463,13199637410,5.842601001,6559.734411
GMB,1728394,1050158837,172.8394,334.6241286
GEO,4452800,11638264782,77.90335561,1853.149327
DEU,81776930,3.25895E+12,234.5799891,35953.51024
GHA,24391823,32174576820,107.1979564,602.3568066
GRC,11315508,2.99102E+11,87.7851668,22637.60936
GTM,14388929,41340507361,134.2751866,2261.190705
GIN,9981590,4735882580,40.62180531,327.3374015
GNB,1515224,835390893,53.88421053,438.4432731
GUY,754493,2259288026,3.832832106,1341.569539
HTI,9993247,6634579143,362.5996734,431.3889863
HND,7600524,15343558028,67.92853696,1523.143301
HKG,7067800,2.24458E+11,6782.917466,30522.41779
HUN,10000023,1.28632E+11,110.4608748,10926.49408
ISL,318041,12550944497,3.172478803,51481.26136
IND,1224614327,1.68432E+12,411.8856605,971.7587796
IDN,239870937,7.08027E+11,132.4105262,1574.752623
IRL,4474356,2.05253E+11,64.94928146,45212.08083
ISR,7623600,2.17443E+11,352.2920518,21578.25435
ITA,60483385,2.04364E+12,205.6278813,29165.4319
JAM,2702300,13872093023,249.5198523,4076.73708
JPN,127450459,5.48842E+12,349.6583237,36389.59093
JOR,6047000,26425379367,68.11218743,2747.067985
KAZ,16323287,1.48047E+11,6.046333667,4732.299153
KEN,40512682,32198151217,71.18227853,580.1633868
KOR,49410000,1.01489E+12,508.8568486,20819.80165
KWT,2736732,1.24348E+11,153.576431,33749.26518
KGZ,5447900,4794361821,28.40406674,560.7440868
LAO,6200894,7181441152,26.86695841,647.240261
LVA,2239008,24009680460,36.00849148,6923.913613
LBN,4227597,39006223284,413.2548387,7097.11929
LSO,2171318,2179350967,71.51903821,759.7845527
LTU,3286820,36306384146,52.44646561,8325.446276
LUX,506953,52982763158,195.734749,81457.71172
MKD,2060563,9137543773,81.70352895,3429.273323
MDG,20713819,8720543554,35.6189067,281.7841247
MWI,14900841,5054150506,158.0488014,263.6980246
MYS,28401017,2.37797E+11,86.44351545,6049.936882
MLI,15369809,9422377319,12.59624239,434.6825377
MRT,3459773,3613898829,3.356721645,649.093564
MUS,1280924,9714391397,630.9970443,6113.496013
MEX,113423047,1.03587E+12,58.34668947,8161.862569
MDA,3562062,5811584073,123.9970063,983.0500154
MNG,2756001,6200357070,1.773990705,1259.258599
MAR,31951412,90802867575,71.59178131,2364.525345
MOZ,23390765,9209366611,29.74486253,397.7272144
NAM,2283289,11133250765,2.773371473,3974.168617
NPL,29959364,16013938825,208.9945169,348.0665841
NLD,16615394,7.74229E+11,492.5998814,41237.22174
NZL,4367800,1.42477E+11,16.58805211,26857.6442
NIC,5788163,6590593827,48.09841283,994.0514485
NER,15511953,5410507420,12.24595642,280.6149562
NGA,158423182,1.96838E+11,173.9442252,979.8103198
NOR,4889252,4.17753E+11,16.00566995,64703.24256
OMN,2782435,57849155213,8.990096931,15328.48774
PAK,173593383,1.7687E+11,225.1885936,785.4434443
PAN,3516820,26777100000,47.30723702,6616.905861
PNG,6858266,9480047959,15.14434041,955.5560857
PRY,6454548,18331385476,16.24603071,1509.743472
PER,29076512,1.53883E+11,22.716025,3859.964353
PHL,93260798,1.99589E+11,312.777268,1406.064798
POL,38183683,4.69782E+11,125.5216404,10024.12083
PRT,10637346,2.27197E+11,116.2932765,18436.68877
ROU,21438001,1.61629E+11,93.18439103,5220.655214
RUS,141920000,1.48752E+12,8.665880599,6402.414031
RWA,10624005,5624294585,430.6447102,347.3391296
SAU,27448086,4.50792E+11,12.76839265,13216.59034
SEN,12433728,12855297513,64.58073028,829.5782559
SYC,86525,963006565.5,188.0978261,12739.31909
SLE,5867536,1909761902,81.92594247,275.7265093
SGP,5076700,2.13155E+11,7252.428571,33246.57352
SVK,5430099,87077443709,112.9153462,14192.19937
SVN,2048583,46908328071,101.7171301,19050.37968
SLB,538148,678625481.7,19.22643801,1033.186605
ZAF,49991300,3.63523E+11,41.16305878,5785.394185
ESP,46070971,1.38334E+12,92.36361468,25626.96773
LKA,20653000,49567521670,329.3414129,1594.041203
LCA,174000,1198907909,285.2459016,5834.92365
VCT,109333,674770632.9,280.3410256,5473.601375
SDN,33603637,66996504056,18.3299415,894.442987
SUR,524636,4350523600,3.363051282,4193.496911
SWZ,1055506,3697606785,61.36662791,2764.662338
SWE,9378126,4.61939E+11,22.85452552,42651.21157
CHE,7826153,5.29395E+11,195.653825,52601.03315
SYR,20446609,59147033452,111.3467788,1790.677194
TZA,44841226,22915004297,50.62229171,439.5475565
THA,69122234,3.18908E+11,135.2976844,3039.414154
TGO,6027798,3176118222,110.8254826,407.986943
TTO,1341465,20945274102,261.494152,14000.5218
TUN,10549100,44238228308,67.90100412,3811.911709
TUR,72752325,7.31144E+11,94.52896197,7770.430741
UGA,33424683,17197398887,167.2823332,407.041498
UKR,45870700,1.36419E+11,79.18024581,1970.747841
GBR,62231336,2.2519E+12,257.228686,37562.52219
USA,309349689,1.44471E+13,33.81824482,42308.12125
URY,3356584,39411996710,19.1782882,6856.127339
UZB,28562400,39332771014,67.14245416,761.3418721
VUT,239651,688904851.5,19.65963905,2120.901089
VEN,28834000,3.93808E+11,32.68975682,6053.709763
VNM,86927700,1.06427E+11,280.348631,854.363134
YEM,24052514,31042729623,45.55659223,859.2956495
ZMB,12926409,16192867758,17.38846231,758.0041947
ZWE,12571454,7475995911,32.49697299,406.4393481
